               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 159,            0.024527,            0.012946,           0.0024335,             0.98479,             0.98697,              0.9824,             0.79196,            0.029268,           0.0089895,          0.00068844,            0.004786,            0.004786,            0.004786
                 160,            0.024391,            0.013755,           0.0025152,             0.98624,              0.9846,             0.99003,             0.81432,            0.028689,           0.0085122,          0.00060089,            0.004753,            0.004753,            0.004753
                 161,            0.025025,            0.013339,           0.0024488,             0.98165,             0.98578,              0.9848,             0.81108,            0.028634,           0.0086038,          0.00051394,             0.00472,             0.00472,             0.00472
                 162,             0.02472,            0.012555,           0.0025411,             0.98362,             0.98243,             0.98444,             0.80935,             0.02762,           0.0086925,          0.00062189,            0.004687,            0.004687,            0.004687
                 163,             0.02501,            0.013262,           0.0028995,             0.98349,             0.98339,             0.98392,             0.81426,            0.027836,           0.0086492,           0.0011754,            0.004654,            0.004654,            0.004654
                 164,            0.024831,            0.013193,            0.002279,             0.98617,             0.98225,              0.9869,              0.8189,            0.027679,           0.0089024,           0.0010671,            0.004621,            0.004621,            0.004621
                 165,            0.024398,            0.012722,            0.002666,             0.98929,              0.9892,             0.98892,              0.8187,            0.028107,            0.008921,          0.00084097,            0.004588,            0.004588,            0.004588
                 166,            0.024109,            0.013174,           0.0028379,             0.98383,             0.98332,             0.98662,             0.81546,            0.028662,           0.0088209,           0.0015573,            0.004555,            0.004555,            0.004555
                 167,            0.024305,            0.012864,           0.0024959,             0.98365,             0.98314,             0.98303,             0.80003,            0.029694,           0.0088639,          0.00080745,            0.004522,            0.004522,            0.004522
                 168,            0.024566,             0.01327,            0.002757,             0.98794,             0.98493,             0.98925,             0.79916,            0.029841,           0.0089021,          0.00085991,            0.004489,            0.004489,            0.004489
                 169,            0.023541,            0.013441,           0.0024668,             0.98692,             0.98271,             0.98351,             0.80347,            0.029463,           0.0086915,          0.00064815,            0.004456,            0.004456,            0.004456
                 170,            0.024286,            0.012815,           0.0023808,             0.98006,             0.98065,             0.97922,             0.80876,            0.029759,           0.0089346,          0.00089893,            0.004423,            0.004423,            0.004423
                 171,            0.023236,            0.012629,           0.0022488,             0.98463,             0.98418,             0.98476,             0.80264,            0.029058,           0.0087814,          0.00057866,             0.00439,             0.00439,             0.00439
                 172,             0.02367,            0.013377,           0.0026168,             0.97877,             0.97986,             0.98264,             0.81029,            0.030108,             0.00893,          0.00065991,            0.004357,            0.004357,            0.004357
                 173,            0.023522,            0.013072,           0.0023182,             0.98565,             0.98342,             0.98567,             0.81684,            0.029986,           0.0089838,          0.00069355,            0.004324,            0.004324,            0.004324
                 174,            0.023609,            0.013254,           0.0021139,             0.98192,             0.98246,             0.98486,             0.79467,            0.030232,           0.0086544,          0.00084923,            0.004291,            0.004291,            0.004291
                 175,            0.022904,            0.012311,           0.0023776,             0.97771,              0.9846,             0.98451,             0.81437,            0.029477,           0.0090107,          0.00079382,            0.004258,            0.004258,            0.004258
                 176,            0.022964,            0.012331,           0.0025828,             0.98549,             0.98223,             0.98481,             0.80827,            0.029335,            0.009094,          0.00080112,            0.004225,            0.004225,            0.004225
                 177,            0.024221,            0.012712,           0.0023793,             0.98444,             0.98621,             0.98798,             0.80894,            0.030057,           0.0089849,          0.00087559,            0.004192,            0.004192,            0.004192
