               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034576,            0.016601,           0.0052596,             0.94413,             0.94507,             0.98403,             0.70662,            0.031837,            0.008554,           0.0015969,            0.008845,            0.008845,            0.008845
                  37,            0.033896,            0.016298,           0.0052791,             0.95803,             0.96613,              0.9886,             0.75919,            0.029504,           0.0082721,           0.0016771,            0.008812,            0.008812,            0.008812
                  38,            0.034721,            0.016024,           0.0052207,             0.96985,             0.96884,             0.98947,             0.74313,            0.028545,           0.0081424,           0.0014819,            0.008779,            0.008779,            0.008779
                  39,            0.032531,            0.016513,           0.0047653,             0.96415,             0.98061,             0.98626,             0.78974,            0.029142,           0.0085362,           0.0012964,            0.008746,            0.008746,            0.008746
                  40,            0.032983,            0.016328,            0.004622,             0.72897,             0.90259,             0.91582,             0.73679,            0.034927,            0.010752,           0.0037096,            0.008713,            0.008713,            0.008713
                  41,            0.034924,            0.016508,           0.0047856,             0.95191,             0.96727,             0.98189,             0.74523,            0.032179,           0.0083739,           0.0017672,             0.00868,             0.00868,             0.00868
                  42,            0.032971,            0.016108,            0.005108,             0.94906,             0.97652,             0.97981,             0.79733,            0.030705,           0.0080523,           0.0011192,            0.008647,            0.008647,            0.008647
                  43,            0.032673,            0.014833,           0.0049293,             0.95748,             0.96283,             0.98579,             0.80147,            0.028645,            0.008536,           0.0014175,            0.008614,            0.008614,            0.008614
                  44,            0.032092,             0.01537,           0.0051958,             0.96938,             0.93489,             0.98924,             0.80664,            0.028238,            0.008138,           0.0018092,            0.008581,            0.008581,            0.008581
                  45,            0.031611,            0.015623,           0.0045328,             0.94408,             0.93455,             0.98858,             0.76721,            0.028276,           0.0080962,           0.0018426,            0.008548,            0.008548,            0.008548
                  46,            0.033186,            0.016148,           0.0041503,             0.98097,             0.98341,             0.98776,             0.75683,            0.028388,           0.0078862,           0.0011015,            0.008515,            0.008515,            0.008515
                  47,            0.031988,            0.016087,           0.0050533,             0.97998,             0.97891,             0.98828,             0.75068,            0.028968,           0.0081629,           0.0011104,            0.008482,            0.008482,            0.008482
                  48,            0.031429,            0.015315,           0.0038221,             0.95326,             0.98736,             0.98794,              0.7999,            0.028991,           0.0080727,           0.0012115,            0.008449,            0.008449,            0.008449
                  49,             0.03207,            0.015359,           0.0041651,             0.96188,             0.97339,             0.98808,             0.81332,            0.027576,           0.0085424,           0.0012364,            0.008416,            0.008416,            0.008416
                  50,            0.032858,            0.016062,           0.0046505,             0.97085,             0.98208,             0.98955,             0.82184,            0.027696,           0.0081305,           0.0011135,            0.008383,            0.008383,            0.008383
                  51,            0.032506,            0.015037,           0.0042015,             0.97667,              0.9767,             0.98823,             0.81538,            0.028442,           0.0080262,           0.0010992,             0.00835,             0.00835,             0.00835
                  52,            0.032422,            0.015952,           0.0044069,             0.97181,             0.98578,             0.98435,              0.7879,            0.030192,           0.0084693,           0.0009167,            0.008317,            0.008317,            0.008317
                  53,            0.032836,            0.015556,           0.0046059,             0.98607,             0.98578,             0.99201,             0.76083,            0.028959,           0.0081959,           0.0011248,            0.008284,            0.008284,            0.008284
                  54,            0.031417,            0.015722,           0.0042786,             0.98286,             0.96744,             0.98686,             0.79607,            0.028053,           0.0080615,          0.00096898,            0.008251,            0.008251,            0.008251
                  55,            0.031689,            0.015645,            0.004099,             0.97066,             0.98104,             0.98581,             0.78196,            0.029204,           0.0087153,            0.001191,            0.008218,            0.008218,            0.008218
                  56,             0.03222,            0.015454,           0.0041585,             0.96756,             0.96074,              0.9874,              0.8077,            0.027771,            0.008158,           0.0014251,            0.008185,            0.008185,            0.008185
                  57,            0.032056,            0.014882,           0.0041947,             0.95864,             0.97184,              0.9863,             0.77858,            0.028693,           0.0083644,           0.0013546,            0.008152,            0.008152,            0.008152
                  58,            0.031221,            0.015057,           0.0038379,             0.98598,             0.98877,             0.98717,             0.75877,            0.029036,            0.008145,          0.00088249,            0.008119,            0.008119,            0.008119
                  59,            0.031607,            0.016245,           0.0039907,             0.98209,              0.9794,             0.98897,             0.79385,            0.027708,           0.0084004,          0.00091506,            0.008086,            0.008086,            0.008086
                  60,            0.031276,             0.01595,           0.0042781,             0.97978,             0.98308,             0.99101,             0.79003,            0.029039,           0.0079413,          0.00095856,            0.008053,            0.008053,            0.008053
                  61,            0.030465,            0.015697,           0.0040276,             0.98834,             0.98549,             0.99288,             0.81259,            0.028233,           0.0078127,          0.00084583,             0.00802,             0.00802,             0.00802
                  62,            0.032294,            0.014462,           0.0042941,             0.98691,             0.99054,             0.99252,             0.82192,            0.027948,            0.008097,           0.0010239,            0.007987,            0.007987,            0.007987
                  63,            0.031757,            0.015071,           0.0040277,              0.9696,             0.98328,             0.98997,             0.80676,            0.027955,           0.0080565,            0.001136,            0.007954,            0.007954,            0.007954
                  64,            0.031129,            0.015699,            0.003668,             0.98626,             0.98815,             0.99048,             0.81856,            0.028338,           0.0084878,          0.00093217,            0.007921,            0.007921,            0.007921
                  65,            0.030678,            0.015531,           0.0035728,             0.96704,             0.97784,             0.98883,             0.78616,             0.02918,           0.0081492,           0.0011787,            0.007888,            0.007888,            0.007888
                  66,            0.030823,            0.015009,           0.0039776,             0.98382,             0.98604,             0.99181,             0.80221,            0.028313,           0.0081649,          0.00092141,            0.007855,            0.007855,            0.007855
                  67,            0.029896,            0.014656,           0.0038882,             0.98233,             0.98856,             0.99357,             0.80361,             0.02909,           0.0079334,          0.00078741,            0.007822,            0.007822,            0.007822
                  68,            0.029958,            0.014946,           0.0039425,             0.96404,             0.96501,             0.98507,             0.76198,            0.029812,           0.0083368,            0.001232,            0.007789,            0.007789,            0.007789
                  69,            0.031799,             0.01512,           0.0035018,             0.96596,             0.97869,             0.98837,             0.75635,            0.030785,           0.0085138,           0.0013123,            0.007756,            0.007756,            0.007756
                  70,            0.030309,            0.014682,           0.0040013,             0.97218,             0.99045,             0.99358,             0.78193,            0.028859,           0.0082523,            0.001314,            0.007723,            0.007723,            0.007723
                  71,            0.029841,            0.014183,           0.0037019,             0.98951,             0.98724,             0.99303,             0.78255,            0.028426,           0.0082921,          0.00078071,             0.00769,             0.00769,             0.00769
                  72,            0.030157,            0.015225,           0.0035149,              0.9869,             0.99091,             0.99381,             0.81169,            0.027813,           0.0083033,          0.00085312,            0.007657,            0.007657,            0.007657
                  73,            0.029926,            0.015311,           0.0036429,             0.98682,               0.992,             0.99421,             0.81302,             0.02758,           0.0081648,          0.00092012,            0.007624,            0.007624,            0.007624
                  74,            0.031376,            0.015097,            0.003864,             0.98506,             0.98875,             0.99236,             0.80158,            0.028729,           0.0081973,           0.0010183,            0.007591,            0.007591,            0.007591
                  75,            0.030364,            0.016071,           0.0038675,             0.98828,             0.97867,             0.99081,             0.78026,            0.029529,           0.0081001,          0.00094978,            0.007558,            0.007558,            0.007558
                  76,            0.030746,            0.015128,           0.0038421,             0.98919,             0.98876,             0.99249,             0.82155,            0.028965,           0.0078532,          0.00083341,            0.007525,            0.007525,            0.007525
